Country,Name,Category,Class,Soldiers,Morale,Discipline,Training,Recruitment cost,Upkeep cost,Weapon upgrade,Armour upgrade,Primary weapon,Primary_Attack,Charge bonus,Total defence,Armour,Defence skill,Shield,Hit points,Can board ships,Can hide in forest,Can withdraw,Weapon attributes,Hardy,Range,Ammunition,Secondary weapon,Secondary_Attack,Can be supported free in a city,Mount,Can form up and charge,Cantabrian circle,Tertiary weapon,Teriary_Attack,Fire by rank,Gunpowder weapon,Skirmish mode off by default,Knight,Very hardy,Can place stakes,Exploding shot,Can hide anywhere on the battlefield,Can hide in forest - improved,Scare horses
The Byzantine Empire,Peasants, Infantry, Light,60,1, Low, Untrained,110,90,65,50, Farm implement (Melee),4,0,3,0,3,0,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Peasants, Infantry, Light,60,1, Low, Untrained,110,90,65,50, Farm implement (Melee),4,0,3,0,3,0,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Byzantine Spearmen, Infantry, Spearmen,60,3, Normal, Trained,310,155,75,60, Long spear (Melee),5,2,7,0,1,6,1,TRUE,TRUE,TRUE, Bonus vs. cavalry = 8,,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Byzantine Spearmen, Infantry, Spearmen,60,3, Normal, Trained,310,155,75,60, Long spear (Melee),5,2,7,0,1,6,1,TRUE,TRUE,TRUE, Bonus vs. cavalry = 8,,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Byzantine Infantry, Infantry, Heavy,48,5, Normal, Trained,400,125,75,55, Sword (Melee),11,2,18,5,7,6,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Byzantine Infantry, Infantry, Heavy,48,5, Normal, Trained,400,125,75,55, Sword (Melee),11,2,18,5,7,6,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Byzantine Infantry, Infantry, Heavy,48,5, Normal, Trained,400,125,75,55, Sword (Melee),11,2,18,5,7,6,1,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Varangian Guard, Infantry, Heavy,48,11, Normal, Highly trained,520,175,100,75, Two-handed axe (Melee),20,6,15,7,5,3,1,TRUE,TRUE,TRUE, Armour piercing,TRUE,,,,,,,,,,,,,,,,,,,,
The Byzantine Empire,Archer Militia, Infantry, Missile,48,3, Normal, Untrained,250,100,65,50, Self bow (Missile),5,1,3,0,3,0,1,TRUE,TRUE,TRUE,,,120,30, Weak sword (Melee),6,TRUE,,,,,,,,,,,,,,,
The Byzantine Empire,Archer Militia, Infantry, Missile,48,3, Normal, Untrained,250,100,65,50, Self bow (Missile),5,1,3,0,3,0,1,TRUE,TRUE,TRUE,,,120,30, Weak sword (Melee),6,TRUE,,,,,,,,,,,,,,,
The Byzantine Empire,Archer Militia, Infantry, Missile,48,3, Normal, Untrained,250,100,65,50, Self bow (Missile),5,1,3,0,3,0,1,TRUE,TRUE,TRUE,,,120,30, Weak sword (Melee),6,TRUE,,,,,,,,,,,,,,,
The Byzantine Empire,Trebizond Archers, Infantry, Missile,48,5, Normal, Trained,460,150,75,55, Composite bow (Missile),9,2,7,0,4,3,1,TRUE,TRUE,TRUE,,,160,30, Weak sword (Melee),8,,,,,,,,,,,,,,,,
The Byzantine Empire,Militia Cavalry, Cavalry, Light,32,3, Normal, Untrained,320,150,90,70, Cavalry spear (Melee),7,2,10,4,3,3,1,TRUE,TRUE,TRUE,,,,, Cavalry sword (Melee),7,TRUE, Heavy horse,TRUE,,,,,,,,,,,,,
The Byzantine Empire,Byzantine Lancers, Cavalry, Heavy,32,5, Disciplined, Highly trained,500,210,100,75, Cavalry light lance (Melee),8,3,13,5,4,4,1,TRUE,TRUE,TRUE,,TRUE,,, Cavalry sword (Melee),9,, Heavy horse,TRUE,,,,,,,,,,,,,
The Byzantine Empire,Byzantine Lancers, Cavalry, Heavy,32,5, Disciplined, Highly trained,500,210,100,75, Cavalry light lance (Melee),8,3,13,5,4,4,1,TRUE,TRUE,TRUE,,TRUE,,, Cavalry sword (Melee),9,, Heavy horse,TRUE,,,,,,,,,,,,,
The Byzantine Empire,Byzantine Lancers, Cavalry, Heavy,32,5, Disciplined, Highly trained,500,210,100,75, Cavalry light lance (Melee),8,3,13,5,4,4,1,TRUE,TRUE,TRUE,,TRUE,,, Cavalry sword (Melee),9,, Heavy horse,TRUE,,,,,,,,,,,,,
The Byzantine Empire,Latinkon, Cavalry, Heavy,32,9, Impetuous, Trained,730,250,120,95, Cavalry heavy lance (Melee),10,4,15,7,4,4,1,TRUE,TRUE,TRUE,,TRUE,,, Cavalry sword (Melee),11,, Heavy horse,TRUE,,,,,,,,,,,,,
The Byzantine Empire,Byzantine Cavalry, Cavalry, Missile,32,3, Normal, Trained,530,175,90,70, Cavalry composite bow (Missile),6,2,12,4,5,3,1,TRUE,TRUE,TRUE,,,120,25, Cavalry sword (Melee),7,, Heavy horse,TRUE,TRUE,,,,,,,,,,,,
The Byzantine Empire,Byzantine Cavalry, Cavalry, Missile,32,3, Normal, Trained,530,175,90,70, Cavalry composite bow (Missile),6,2,12,4,5,3,1,TRUE,TRUE,TRUE,,,120,25, Cavalry sword (Melee),7,, Heavy horse,TRUE,TRUE,,,,,,,,,,,,
The Byzantine Empire,Byzantine Cavalry, Cavalry, Missile,32,3, Normal, Trained,530,175,90,70, Cavalry composite bow (Missile),6,2,12,4,5,3,1,TRUE,TRUE,TRUE,,,120,25, Cavalry sword (Melee),7,, Heavy horse,TRUE,TRUE,,,,,,,,,,,,
The Byzantine Empire,Ballista, Siege, Missile,16,9, Disciplined, Highly trained,370,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,180,50, Ballista (Siege),55,,,,,,,,,,,,,,,,
The Byzantine Empire,Ballista, Siege, Missile,16,9, Disciplined, Highly trained,370,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,180,50, Ballista (Siege),55,,,,,,,,,,,,,,,,
The Byzantine Empire,Ballista, Siege, Missile,16,9, Disciplined, Highly trained,370,150,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,180,50, Ballista (Siege),55,,,,,,,,,,,,,,,,
The Byzantine Empire,Trebuchet, Siege, Missile,16,9, Disciplined, Highly trained,430,250,90,70, Knife (Melee),6,3,8,4,4,0,1,TRUE,,TRUE, Armour piercing,TRUE,215,3, Trebuchet (Siege),55,,,,, Trebuchet - cow carcass (Siege),12,,,,,,,,,,
